Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count,MCH_Parameters
Fungi,Chytridiomycota,Monoblepharidomycetes,Monoblepharidales,,Hyaloraphidium curvatum,Complete,RM2+MCH,,B-GUT,RM2+MCH,4,"x=0, e=500, c=1"
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha bicolor,Complete,RM2+MCH,,B-GUT,RM2+MCH,11,"x=0, e=500, c=1"
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha bicolor e,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,10,"x=10, e=500, c=1"
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha finlandica,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,49,"x=10, e=500, c=1"
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha hepaticicola,Complete,RM2+MCH,,B-GUT,RM2+MCH,5,"x=0, e=500, c=1"
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha variabilis,Complete,RM2+MCH,,B-GUT,RM2+MCH,4,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Boletales,,Hydnomerulius pinastri,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Hydnum rufescens,Complete,RM2+MCH,,B-GUT,RM2+MCH,18,"x=0, e=500, c=1"
Animalia,Cnidaria,Hydrozoa,Anthoathecata,Hydractiniidae,Hydractinia symbiolongicarpus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,222,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Rodentia,Hydrochaeridae,Hydrochoerus hydrochaeris,Complete,Dfam,,Curated Dfam,Dfam,31,
Fungi,Basidiomycota,Agaricomycetes,Boletales,Hygrophoropsidaceae,Hygrophoropsis aurantiaca,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Hymenopellis radicata,Complete,RM2+MCH,,B-GUT,RM2+MCH,9,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Hyparrhenia diplandra,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,170,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma sublateritium,Complete,RM2+MCH,,B-GUT,RM2+MCH,5,"x=0, e=500, c=1"
Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Hypocryptadius cinnamomeus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,91,"x=10, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces perniciosus,Complete,RM2+MCH,,B-GUT,RM2+MCH,7,"x=0, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces rosellus,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon fragiforme,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon fuscum,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon trugodes,Complete,RM2+MCH,,B-GUT,RM2+MCH,3,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Hypsizygus marmoreus,Complete,RM2+MCH,,B-GUT,RM2+MCH,5,"x=0, e=500, c=1"
