Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count
Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Trogon melanurus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,65
Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia chinensis,Complete,Dfam,,Curated Dfam,Dfam,43
Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia tana,Complete,Dfam,,Curated Dfam,Dfam,12
Animalia,Chordata,Aves,Charadriiformes,Turnicidae,Turnix velox,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,32
Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Tursiops truncatus,Complete,Dfam,,Curated Dfam,Dfam,31
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Acaridae,Tyrophagus putrescentiae,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,10
Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto alba,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,28
Animalia,Chordata,Aves,Bucerotiformes,Upupidae,Upupa epops,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,70
Animalia,Chordata,Aves,Passeriformes,Estrildidae,Uraeginthus cyanocephalus,Complete,Dfam,,Curated Dfam,Dfam,62
Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Uropsilus gracilis,Complete,Dfam,,Curated Dfam,Dfam,34
Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus maritimus,Complete,Dfam,,Curated Dfam,Dfam,11
Animalia,Chordata,Lepidosauria,Squamata,Varanidae,Varanus salvator macromaculatus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,206
Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna pacos,Complete,Dfam,,Curated Dfam,Dfam,13
Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo altiloquus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,69
Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus ursinus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,79
Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes lagopus,Complete,Dfam,,Curated Dfam,Dfam,23
Animalia,Annelida,Clitellata,Hirudinida,Haemopidae,Whitmania pigra,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,155
Animalia,Chordata,Mammalia,No trobat,No trobat,Xenarthra,Complete,Dfam,,Dfam no especie,Dfam,46
Animalia,Chordata,Actinopteri,Beloniformes,Belonidae,Xenentodon cancila,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,290
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerus inauris,Complete,Dfam,,Curated Dfam,Dfam,35
Animalia,Arthropoda,Collembola,Entomobryomorpha,Tomoceridae,Yoshiicerus persimilis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,85
Animalia,Arthropoda,Insecta,Neoptera,Yponomeutidae,Yponomeuta plumbellus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,529
Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta sedellus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,492
Animalia,Arthropoda,Insecta,Lepidoptera,Ypsolophidae,Ypsolopha scabrella,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,699
Animalia,Arthropoda,Insecta,Neoptera,Ypsolophidae,Ypsolopha sequella,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,641
Animalia,Chordata,Mammalia,Carnivora,Otariidae,Zalophus californianus,Complete,Dfam,,Curated Dfam,Dfam,19
Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus hudsonius,Complete,Dfam,,Curated Dfam,Dfam,52
Animalia,Arthropoda,Insecta,Lepidoptera,Cossidae,Zeuzera pyrina,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,740
Animalia,Chordata,Mammalia,Artiodactyla,Ziphiidae,Ziphius cavirostris,Complete,Dfam,,Curated Dfam,Dfam,47
Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena filipendulae,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,333
Plantae,Streptophyta,Magnoliopsida,No order,Gunneridae,Abrus pulchellus subsp cantoniensis,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,178
Plantae,Angiosperma,Magnoliopsida,Ericales,Actinidiaceae,Actinidia chinensis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,109
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Aegilops tauschii,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,171
Plantae,Angiosperma,Class not identified Angiosperma,Amborellales,Amborellaceae,Amborella trichopoda,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,432
Plantae,Angiosperma,Class not identified Angiosperma,Ranunculales,Ranunculaceae,Aquilegia eximia,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,186
Plantae,Streptophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia californica,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,278
Plantae,Angiosperma,Magnoliopsida,Asparagales,Asparagaceae,Asparagus officinalis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,140
Plantae,Angiosperma,Class not identified Angiosperma,Caryophyllales ,Amaranthaceae,Beta vulgaris,Complete,RM2+MCH,Repbase,"ENSEMBL ""2023""",RM2+MCH,379
Plantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Beta vulgaris subsp vulgaris,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,296
Plantae,Angiosperma,Class not identified Angiosperma,Poales,Poaceae,Bonia amplexicaulis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,308
Plantae,Angiosperma,Class not identified Angiosperma,Poales,Poaceae,Brachypodium distachyon,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,223
Plantae,Angiosperma,Magnoliopsida,Brassicales,Brassicaceae,Brassica napus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,356
Plantae,Angiosperma,Magnoliopsida,Brassicales,Brassicaceae,Brassica oleracea,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,534
Plantae,Angiosperma,Magnoliopsida,Brassicales,Brassicaceae,Brassica rapa,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,213
Plantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Carex scoparia,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,126
Plantae,Streptophyta,Magnoliopsida,Laurales,Calycanthaceae,Chimonanthus praecox,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,252
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas reinhardtii,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,61
Plantae,Rhodophyta,Class not identified Rhodophyta,Gigartinales,Gigartinaceae,Chondrus crispus,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,453
Plantae,Angiosperma,Magnoliopsida,Cucurbitales,Cucurbitaceae,Citrullus lanatus,Complete,RM2+MCH,,APTEdb,RM2+MCH,97
Plantae,Angiosperma,Class not identified Angiosperma,Sapindales ,Rutaceae,Citrus clementina,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,191
Plantae,Chlorophyta,Trebouxiophyceae,No order,No family,Coccomyxa sp obi,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,11
Plantae,Angiosperma,Magnoliopsida,Gentianales,Rubiaceae,Coffea canephora,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,223
Plantae,Angiosperma,Magnoliopsida,Malvales,Malvaceae,Corchorus capsularis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,150
Plantae,Streptophyta,Magnoliopsida,Boraginales,Cordiaceae,Cordia subcordata,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,261
Plantae,Angiosperma,Magnoliopsida,Fagales,Betulaceae,Corylus avellana,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,92
Plantae,Angiosperma,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis sativus,Complete,RM2+MCH,Obtained by Johan P.,"ENSEMBL ""2023""",RM2+MCH,59
Plantae,Rhodophyta,Class not identified Rhodophyta,Cyanidiales,Cyanidiaceae,Cyanidioschyzon merolae,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,1
Plantae,Angiosperma,Magnoliopsida,Asterales,Asteraceae,Cynara cardunculus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,92
Plantae,Angiosperma,Magnoliopsida,Apiales,Apiaceae,Daucus carota,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,85
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Digitaria exilis,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,271
Plantae,Angiosperma,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea rotundata,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,66
Plantae,Chlorophyta,Plantae,Chlamydomonadales,Dunaliellaceae,Dunaliella primolecta,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,88
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Echinochloa crusgalli,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,369
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,No familia edaphochlamys,Edaphochlamys debaryana,Complete,RM2+MCH,Repbase,"ENSEMBL ""2023""",RM2+MCH,33
Plantae,Angiosperma,Class not identified Angiosperma,Poales,Poaceae,Eragrostis curvula,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,276
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Eragrostis tef,Complete,RM2+MCH,,APTEdb,RM2+MCH,89
Plantae,Angiosperma,Class not identified Angiosperma,Myrtales ,Myrtaceae,Eucalyptus grandis,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,361
Plantae,Angiosperma,Class not identified Angiosperma,Rosales ,Moraceae,Ficus carica,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,115
Plantae,Angiosperma,Magnoliopsida,Fabales ,Fabaceae ,Glycine max,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,273
Plantae,Angiosperma,Magnoliopsida,Malvales,Malvaceae,Gossypium raimondii,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,278
Plantae,Angiosperma,Class not identified Angiosperma,Asterales ,Asteraceae,Helianthus annuus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,495
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Hordeum vulgare,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,391
Plantae,Angiosperma,Class not identified Angiosperma,Ericales ,Balsaminaceae,Impatiens glandulifera,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,323
Plantae,Angiosperma,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea triloba,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,141
Plantae,Angiosperma,Class not identified Angiosperma,Fagales,Juglandaceae,Juglans californica,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,490
Plantae,Streptophyta,Magnoliopsida,Poales,Juncaceae,Juncus effusus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,93
Plantae,Angiosperma,Magnoliopsida,Asterales,Asteraceae,Lactuca sativa,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,212
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Leersia perrieri,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,77
Plantae,Angiosperma,Magnoliopsida,Fabales,Fabaceae,Lupinus angustifolius,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,248
Plantae,Angiosperma,Magnoliopsida,Rosales,Rosaceae,Malus domestica,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,1627
Plantae,Bryophyta,Marchantiopsida,Marchantiales,Marchantiaceae,Marchantia polymorpha,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,9
Plantae,Angiosperma,Magnoliopsida,Fabales,Fabaceae,Medicago truncatula,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,273
Plantae,Streptophyta,Mesostigmatophyceae,Mesostigmatales,Mesostigmataceae,Mesostigma viride,complete,RM2+MCH,Repbase,"ENSEMBL ""2023""",RM2+MCH,71
Plantae,Angiosperma,Magnoliopsida,Zingiberales,Musaceae,Musa acuminata,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,70
Plantae,Angiosperma,Magnoliopsida,Solanales,Solanaceae,Nicotiana attenuata,Complete,RM2+MCH,,APTEdb,RM2+MCH,1159
Plantae,Angiosperma,Magnoliopsida,Nymphaeales,Nymphaeaceae,Nymphaea colorata,Complete,RM2+MCH,,APTEdb,RM2+MCH,285
Plantae,Angiosperma,Magnoliopsida,Lamiales,Oleaceae,Olea europaea,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,298
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Oryza barthii,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,738
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Panicum hallii,Complete,RM2+MCH,Repbase,APTEdb,RM2+MCH,228
Plantae,Bryophyta,Bryopsida,Bryopsida,Bryidae,Pohlia nutans,complete,RM2+MCH,Repbase,"ENSEMBL ""2023""",RM2+MCH,70
Plantae,Angiosperma,Magnoliopsida,Malpighiales,Salicaceae,Populus trichocarpa,Complete,RM2+MCH,Repbase,APTEdb,RM2+MCH,462
Plantae,Angiosperma,Magnoliopsida,Rosales ,Rosaceae,Prunus persica,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,215
Plantae,Streptophyta,Magnoliopsida,Poales,Bromeliaceae,Puya raimondii,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,175
Plantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Senecio squalidus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,413
Plantae,Angiosperma,Magnoliopsida,Lamiales,Pedaliaceae,Sesamum indicum,Complete,RM2+MCH,,APTEdb,RM2+MCH,124
Plantae,Angiosperma,Magnoliopsida,Solanales,Solanaceae,Solanum tuberosum,Complete,RM2+MCH,Repbase,APTEdb,RM2+MCH,536
Plantae,Angiosperma,,Alismatales ,Araceae ,Spirodela polyrhiza,Complete,RM2+MCH,Repbase,"ENSEMBL ""2023""",RM2+MCH,47
